text,intent
kachra 4 din se nahi uthaya gaya hai karol bagh se,GRIEVANCE
what is your purpose,CAPABILITIES
good evening,GREETING
what is 2 plus 2,UNKNOWN
hello assistant,GREETING
submit it,CONFIRMATION
overflowing waste bin in model town,GRIEVANCE
waterlogging in karol bagh after light rain,GRIEVANCE
random stuff,UNKNOWN
bahut dhanyawad,THANKS
what features do you have,CAPABILITIES
awesome thanks,THANKS
dark street near model town creating safety risk,GRIEVANCE
street lights have been off for 7 nights in railway station road,GRIEVANCE
not correct,DENIAL
traffic signal lights not working at vasant kunj intersection,GRIEVANCE
all good,GREETING
what is this,CAPABILITIES
about,CAPABILITIES
wrong department,CORRECTION
drainage gutter overflow flooding road in sector 17,GRIEVANCE
yes please,CONFIRMATION
our taps are dry since this morning,GRIEVANCE
how are you,GREETING
sab badhiya,GREETING
water has not come for 4 days in saket,GRIEVANCE
that's wrong,DENIAL
there is no water supply in sector 17,GRIEVANCE
hi,GREETING
edit details,CORRECTION
sure,CONFIRMATION
hey there,GREETING
the road near civil lines is completely broken and damaged,GRIEVANCE
waterlogging in sector 17 after light rain,GRIEVANCE
how is it going,GREETING
stagnant water pool near civil lines causing mosquito breeding,GRIEVANCE
help me,CAPABILITIES
transformer is sparking violently near civil lines,GRIEVANCE
fogging required urgently in railway station road,GRIEVANCE
the road near civil lines is completely broken and damaged,GRIEVANCE
traffic signal lights not working at model town intersection,GRIEVANCE
street light band hai saket me,GRIEVANCE
open manhole on road near sector 17,GRIEVANCE
overflowing waste bin in civil lines,GRIEVANCE
transformer is sparking violently near vasant kunj,GRIEVANCE
kya kar sakte ho,CAPABILITIES
bijli 6 ghante se nahi hai model town me,GRIEVANCE
thanks,THANKS
not correct,DENIAL
transformer is sparking violently near karol bagh,GRIEVANCE
i am fine but the pipeline outside my house in karol bagh is leaking,GRIEVANCE
bahut dhanyawad,THANKS
open manhole on road near railway station road,GRIEVANCE
huge pile of uncollected trash dumped near model town,GRIEVANCE
haan,CONFIRMATION
open manhole on road near sector 17,GRIEVANCE
huge pile of uncollected trash dumped near model town,GRIEVANCE
bijli 6 ghante se nahi hai karol bagh me,GRIEVANCE
namaste ji,GREETING
garbage has not been collected from civil lines for 4 days,GRIEVANCE
drainage gutter overflow flooding road in railway station road,GRIEVANCE
overflowing waste bin in railway station road,GRIEVANCE
drainage gutter overflow flooding road in saket,GRIEVANCE
good afternoon,GREETING
yeah,CONFIRMATION
na,DENIAL
stagnant water pool near model town causing mosquito breeding,GRIEVANCE
helo,GREETING
dirty contaminated water coming from tap in karol bagh,GRIEVANCE
i am fine so the problem is that there is a road on that road there is a pipe leaking,GRIEVANCE
correct,CONFIRMATION
nali overflow kar rahi hai sector 17 me,GRIEVANCE
stop,DENIAL
road ki condition bahut kharab hai model town me,GRIEVANCE
nah,DENIAL
thank you so much,THANKS
good morning,GREETING
xyz123,UNKNOWN
no don't,DENIAL
what can you do,CAPABILITIES
confirm,CONFIRMATION
what is 2 plus 2,UNKNOWN
thank you so much,THANKS
fogging required urgently in railway station road,GRIEVANCE
that's not the category,CORRECTION
i am fine so the problem is that there is a road on that road there is a pipe leaking,GRIEVANCE
ok,CONFIRMATION
open manhole on road near vasant kunj,GRIEVANCE
yes please,CONFIRMATION
what is the weather today,UNKNOWN
good morning,GREETING
what is this,CAPABILITIES
i am fine but the pipeline outside my house in sector 17 is leaking,GRIEVANCE
footpath tiles are broken near civil lines,GRIEVANCE
sahi hai,CONFIRMATION
what is the weather today,UNKNOWN
dark street near vasant kunj creating safety risk,GRIEVANCE
