text,department,category,subcategory,priority
hello sir my name is rahul and pipeline leak hai aur paani road par jama ho raha hai,Water Department,Water Supply,Water Pipeline Leakage,HIGH
bhai listen fumigation and mosquito fogging required urgently in model town,Public Health Department,Public Health,Vector Disease Control,HIGH
community waste bin overflowing near Connaught Place,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
i am rahul shamram i am fine so the problem is that traffic light kharab hai near Model Town chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, nali overflow kar rahi hai Dwarka Sector 10 ke raste pe",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"hi assistant i am fine, kachra 4 din se nahi uthaya gaya hai Rohini Sector 7 se",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
i am rahul shamram i am fine so the problem is that severe foul odor coming from unmaintained public restroom near Model Town,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
in our area the main road has huge deep potholes near Rohini Sector 7,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"please help me, severe waterlogging in Rohini Sector 7 after light rain due to choked drains",Municipal Drainage Department,Drainage,Waterlogging,HIGH
huge pile of uncollected trash dumped openly near Karol Bagh,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
i am reporting an issue that urgent fogging required near Civil Lines due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
i am rahul shamram i am fine so the problem is that street light 1 hafte se band hai rohini sector 7 me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
sewage chamber overflowing on the walking pavement near Model Town,Sanitation Department,Sanitation,Sewage Overflow,HIGH
bhai listen huge pile of uncollected trash dumped openly near Sector 17,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
bhai listen ganda paani aa raha hai tap me Connaught Place ke andar,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
there is sewage overflowing from the chamber onto the walking path in Karol Bagh,Sanitation Department,Sanitation,Sewage Overflow,HIGH
kachra 4 din se nahi uthaya gaya hai Model Town se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
drainage gutter overflow inundating street water in Karol Bagh,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am rahul shamram i am fine so the problem is that open manhole on main road near Sector 17 poses severe danger to pedestrians,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
"sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"good morning sir, community waste bin overflowing near Rohini Sector 7",Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
entire stretch of road near Sector 17 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
i am reporting an issue that there is a huge pothole on the main road,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am rahul shamram i am fine so the problem is that public toilet near Vasant Kunj is extremely filthy and not cleaned,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
in our area traffic signal lights not working at major intersection near Lajpat Nagar,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen there is water everywhere on the road but our taps have no water,Water Department,Water Supply,No Water Supply,HIGH
streetlight pole broken and light fixture hanging near Rohini Sector 7,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
bijli 6 ghante se nahi hai Rohini Sector 7 me,Electricity Department,Electricity,Power Outage,HIGH
"good morning sir, pothole on road needs urgent repair before an accident happens",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am rahul shamram i am fine so the problem is that streetlight pole broken and light fixture hanging near Sector 17,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"please help me, drainage gutter overflow inundating street water in connaught place",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
kachra 4 din se nahi uthaya gaya hai lajpat nagar se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"please help me, entire stretch of road near Sector 17 is pitch dark at night",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
i am rahul shamram i am fine so the problem is that bhai hamare area Railway Station Road me 3 din se paani nahi aa raha hai,Water Department,Water Supply,No Water Supply,HIGH
hello sir my name is rahul and open manhole on main road near Connaught Place poses severe danger to pedestrians,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
i am rahul shamram i am fine so the problem is that entire stretch of road near sector 17 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
in our area paani nahi aa raha ghar mein,Water Department,Water Supply,No Water Supply,HIGH
public toilet is closed and locked since 7 days near Karol Bagh,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
huge pile of uncollected trash dumped openly near Sector 17,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
hello sir my name is rahul and sewage line overflowing near Sector 17 creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
streetlight pole broken and light fixture hanging near Civil Lines,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
live electrical wire fallen on road near Lajpat Nagar,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"hi assistant i am fine, dengue cases badh rahe hain, please fogging karwao vasant kunj me",Public Health Department,Public Health,Vector Disease Control,HIGH
i am reporting an issue that tap se ganda paani aa raha hai,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
i am reporting an issue that nali overflow kar rahi hai Rohini Sector 7 ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"please help me, frequent voltage fluctuations and power cuts in Vasant Kunj area",Electricity Department,Electricity,Power Outage,HIGH
i am rahul shamram i am fine so the problem is that community waste bin overflowing near Dwarka Sector 10,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
stormwater drain is completely clogged with silt near Connaught Place,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
"please help me, bijli 6 ghante se nahi hai Civil Lines me",Electricity Department,Electricity,Power Outage,HIGH
bhai listen traffic light kharab hai near Civil Lines chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
traffic light kharab hai near Civil Lines chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
hello sir my name is rahul and kachra 4 din se nahi uthaya gaya hai model town se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
in our area kachra 4 din se nahi uthaya gaya hai Karol Bagh se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
footpath is broken and paved tiles are missing near Vasant Kunj,Public Works Department,Roads / PWD,Broken Footpath,LOW
"please help me, public toilet is closed and locked since 4 days near Sector 17",Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
road is completely broken with dangerous potholes everywhere,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
traffic light kharab hai near Karol Bagh chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, mosquito se dengue ho raha hai area me fogging ki zaroorat hai",Public Health Department,Public Health,Vector Disease Control,HIGH
i am rahul shamram i am fine so the problem is that sewage ka paani raste pe beh raha hai near Vasant Kunj,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"please help me, drainage gutter overflow inundating street water in Karol Bagh",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
road par pipeline phat gayi hai,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"please help me, road is flooded because a water pipeline is leaking in model town",Water Department,Water Supply,Water Pipeline Leakage,HIGH
bhai listen bus stop shelter shade damaged and rusted near Rohini Sector 7,Municipal Transport Department,Transport,Bus Stop Damage,LOW
"please help me, big pothole on main road causing accidents and damage to vehicles",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bijli 6 ghante se nahi hai railway station road me,Electricity Department,Electricity,Power Outage,HIGH
"please help me, entire stretch of road near Connaught Place is pitch dark at night",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
huge pile of uncollected trash dumped openly near Lajpat Nagar,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
drainage gutter overflow inundating street water in Connaught Place,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bhai listen kachra 4 din se nahi uthaya gaya hai dwarka sector 10 se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
i am reporting an issue that frequent voltage fluctuations and power cuts in Dwarka Sector 10 area,Electricity Department,Electricity,Power Outage,HIGH
sewage chamber overflowing on the walking pavement near karol bagh,Sanitation Department,Sanitation,Sewage Overflow,HIGH
hello sir my name is rahul and footpath is broken and paved tiles are missing near Karol Bagh,Public Works Department,Roads / PWD,Broken Footpath,LOW
"good morning sir, traffic light kharab hai near Rohini Sector 7 chowk",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"good morning sir, severe foul odor coming from unmaintained public restroom near Connaught Place",Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"in our area dengue cases badh rahe hain, please fogging karwao rohini sector 7 me",Public Health Department,Public Health,Vector Disease Control,HIGH
paani ki pipe leak ho gayi hai sadak par,Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am reporting an issue that severe waterlogging in Dwarka Sector 10 after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"hi assistant i am fine, stagnant water pool near model town becoming mosquito breeding ground",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"good morning sir, fogging karwao area me, dengue phail raha hai",Public Health Department,Public Health,Vector Disease Control,HIGH
i am reporting an issue that open manhole on main road near Civil Lines poses severe danger to pedestrians,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
in our area exposed live electrical wire hanging dangerously near school in Vasant Kunj,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
i am reporting an issue that the main road has huge deep potholes near Sector 17,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"hi assistant i am fine, kachra 4 din se nahi uthaya gaya hai Rohini Sector 7 se",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"good morning sir, sewage manhole overflow causing smell and filth on pavement near Vasant Kunj",Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am reporting an issue that stormwater drain is completely clogged with silt near Dwarka Sector 10,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
there is a major water shortage in our colony near Civil Lines,Water Department,Water Supply,No Water Supply,HIGH
bijli 6 ghante se nahi hai connaught place me,Electricity Department,Electricity,Power Outage,HIGH
sewage chamber overflowing on the walking pavement near Dwarka Sector 10,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"good morning sir, big pothole on main road causing accidents and damage to vehicles",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
severe waterlogging in Civil Lines after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
i am rahul shamram i am fine so the problem is that road construction work near Civil Lines has been left incomplete for months,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
nali overflow kar rahi hai Civil Lines ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bhai listen traffic light kharab hai near dwarka sector 10 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"please help me, sewage manhole overflow causing smell and filth on pavement near Rohini Sector 7",Sanitation Department,Sanitation,Sewage Overflow,HIGH
"please help me, electric pole near Dwarka Sector 10 is leaning dangerously and about to fall",Electricity Department,Electricity,Damaged Electric Pole,HIGH
streetlight pole broken and light fixture hanging near Sector 17,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"hi assistant i am fine, sewage chamber overflowing on the walking pavement near Sector 17",Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am rahul shamram i am fine so the problem is that there is a major water shortage in our colony near Sector 17,Water Department,Water Supply,No Water Supply,HIGH
traffic signal lights not working at major intersection near Model Town,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"hi assistant i am fine, road construction work near vasant kunj has been left incomplete for months",Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
i am rahul shamram i am fine so the problem is that nali overflow kar rahi hai Railway Station Road ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
in our area electric pole near Model Town is leaning dangerously and about to fall,Electricity Department,Electricity,Damaged Electric Pole,HIGH
stormwater drain is completely clogged with silt near Dwarka Sector 10,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
"good morning sir, public toilet near Civil Lines is extremely filthy and not cleaned",Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
"please help me, exposed live electrical wire hanging dangerously near school in vasant kunj",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
bhai listen bijli 6 ghante se nahi hai Civil Lines me,Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, kachra 4 din se nahi uthaya gaya hai Civil Lines se",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
pipeline burst near Civil Lines causing heavy water leakage on road,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"please help me, bus stop shelter shade damaged and rusted near sector 17",Municipal Transport Department,Transport,Bus Stop Damage,LOW
hello sir my name is rahul and traffic light kharab hai near Dwarka Sector 10 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
bhai listen stormwater drain is completely clogged with silt near Rohini Sector 7,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
stormwater drain is completely clogged with silt near Karol Bagh,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
in our area paani sadak par beh raha hai pipe leak hone ki wajah se,Water Department,Water Supply,Water Pipeline Leakage,HIGH
in our area pothole on road needs urgent repair before an accident happens,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
muddy dirty water coming out of water taps in Connaught Place,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
hello sir my name is rahul and urgent fogging required near dwarka sector 10 due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
open manhole on main road near Rohini Sector 7 poses severe danger to pedestrians,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
in our area fever cases increasing in Sector 17 suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
streetlight pole broken and light fixture hanging near Civil Lines,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"hi assistant i am fine, sewage manhole overflow causing smell and filth on pavement near connaught place",Sanitation Department,Sanitation,Sewage Overflow,HIGH
kachra 4 din se nahi uthaya gaya hai Civil Lines se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"good morning sir, bus stop shelter shade damaged and rusted near Lajpat Nagar",Municipal Transport Department,Transport,Bus Stop Damage,LOW
"please help me, machhar bohot ho gaye hain stagnant water ke wajah se Railway Station Road me",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"please help me, streetlights turned off on main road near Connaught Place for 2 nights",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
in our area plague and disease spreading in Rohini Sector 7 due to mosquitoes and stagnant water,Public Health Department,Public Health,Disease Outbreak,HIGH
i am rahul shamram i am fine so the problem is that water pipe leak ho gaya hai Railway Station Road market ke paas,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"please help me, drainage gutter overflow inundating street water in Sector 17",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"please help me, garbage has not been collected from Railway Station Road for 3 days",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"good morning sir, garbage has not been collected from Karol Bagh for 7 days",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
streetlight pole broken and light fixture hanging near Railway Station Road,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"good morning sir, sewage chamber is overflowing and sewage spreading on street near Model Town",Sanitation Department,Sanitation,Sewage Overflow,HIGH
hello sir my name is rahul and traffic light kharab hai near Railway Station Road chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am rahul shamram i am fine so the problem is that street light 1 hafte se band hai Rohini Sector 7 me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bijli 6 ghante se nahi hai Rohini Sector 7 me,Electricity Department,Electricity,Power Outage,HIGH
bhai listen water pipe is leaking continuously on the main road,Water Department,Water Supply,Water Pipeline Leakage,HIGH
public toilet near Vasant Kunj is extremely filthy and not cleaned,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
i am reporting an issue that no water coming out of kitchen tap since Tuesday,Water Department,Water Supply,No Water Supply,HIGH
in our area bus stop shelter shade damaged and rusted near Model Town,Municipal Transport Department,Transport,Bus Stop Damage,LOW
severe waterlogging in railway station road after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
bhai listen electric pole near Karol Bagh is leaning dangerously and about to fall,Electricity Department,Electricity,Damaged Electric Pole,HIGH
bus stop shelter shade damaged and rusted near Rohini Sector 7,Municipal Transport Department,Transport,Bus Stop Damage,LOW
sewage chamber is overflowing and sewage spreading on street near Lajpat Nagar,Sanitation Department,Sanitation,Sewage Overflow,HIGH
bus stop shelter shade damaged and rusted near Lajpat Nagar,Municipal Transport Department,Transport,Bus Stop Damage,LOW
hello sir my name is rahul and machhar bohot ho gaye hain stagnant water ke wajah se Dwarka Sector 10 me,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
bhai listen streetlight pole broken and light fixture hanging near Railway Station Road,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"good morning sir, power supply has been out in Lajpat Nagar for more than 2 hours",Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, machhar bohot ho gaye hain stagnant water ke wajah se Karol Bagh me",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
streetlights turned off on main road near Model Town for 7 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bhai listen electric pole near Sector 17 is leaning dangerously and about to fall,Electricity Department,Electricity,Damaged Electric Pole,HIGH
"sadak par bohot bade bade gaddhe hain, gaadi kharab ho rahi hai",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am rahul shamram i am fine so the problem is that machhar bohot ho gaye hain stagnant water ke wajah se Railway Station Road me,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"please help me, transformer se spark nikal raha hai near Dwarka Sector 10 market",Electricity Department,Electricity,Transformer Sparking,CRITICAL
stormwater drain is completely clogged with silt near Dwarka Sector 10,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
traffic signal lights not working at major intersection near Karol Bagh,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
traffic light kharab hai near dwarka sector 10 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
i am reporting an issue that live electrical wire fallen on road near Sector 17,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"hi assistant i am fine, fogging karwao area me, dengue phail raha hai",Public Health Department,Public Health,Vector Disease Control,HIGH
"hi assistant i am fine, community waste bin overflowing near Lajpat Nagar",Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
"hi assistant i am fine, stormwater drain is completely clogged with silt near lajpat nagar",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
streetlights turned off on main road near Connaught Place for 3 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
hello sir my name is rahul and drainage gutter overflow inundating street water in Civil Lines,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am rahul shamram i am fine so the problem is that traffic signal lights not working at major intersection near Lajpat Nagar,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
hello sir my name is rahul and fever cases increasing in Railway Station Road suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
streetlight pole broken and light fixture hanging near Model Town,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
urgent fogging required near Railway Station Road due to mosquito menace and dengue threat,Public Health Department,Public Health,Vector Disease Control,HIGH
nuisance and stench from dirty public toilet near Rohini Sector 7 market,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"please help me, sewage manhole overflow causing smell and filth on pavement near Dwarka Sector 10",Sanitation Department,Sanitation,Sewage Overflow,HIGH
bijli 6 ghante se nahi hai Vasant Kunj me,Electricity Department,Electricity,Power Outage,HIGH
"hi assistant i am fine, large deep potholes on main road near Vasant Kunj causing accidents",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
i am rahul shamram i am fine so the problem is that fever cases increasing in rohini sector 7 suspected dengue mosquito infestation,Public Health Department,Public Health,Disease Outbreak,HIGH
"please help me, street light 1 hafte se band hai Model Town me",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
i am reporting an issue that severe foul odor coming from unmaintained public restroom near Rohini Sector 7,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
i am rahul shamram i am fine so the problem is that nali overflow kar rahi hai karol bagh ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"hi assistant i am fine, bus stop shelter shade damaged and rusted near Sector 17",Municipal Transport Department,Transport,Bus Stop Damage,LOW
"please help me, stagnant water pool near Lajpat Nagar becoming mosquito breeding ground",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
in our area traffic light kharab hai near Dwarka Sector 10 chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"good morning sir, public toilet is closed and locked since 4 days near Sector 17",Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
i am rahul shamram i am fine so the problem is that huge pile of uncollected trash dumped openly near Sector 17,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
i am rahul shamram i am fine so the problem is that bijli 6 ghante se nahi hai Connaught Place me,Electricity Department,Electricity,Power Outage,HIGH
no water supply in karol bagh for 4 days,Water Department,Water Supply,No Water Supply,HIGH
i am reporting an issue that entire stretch of road near Rohini Sector 7 is pitch dark at night,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
hello sir my name is rahul and contaminated foul smelling water in supply line near Karol Bagh,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
in our area drainage gutter overflow inundating street water in Vasant Kunj,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"i am reporting an issue that malaria aur dengue ke case badh rahe hain Civil Lines me, fogging karo",Public Health Department,Public Health,Vector Disease Control,HIGH
in our area streetlight pole broken and light fixture hanging near Sector 17,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
i am rahul shamram i am fine so the problem is that bus stop shelter shade damaged and rusted near Rohini Sector 7,Municipal Transport Department,Transport,Bus Stop Damage,LOW
hello sir my name is rahul and road is flooded because a water pipeline is leaking in Vasant Kunj,Water Department,Water Supply,Water Pipeline Leakage,HIGH
garbage has not been collected from Dwarka Sector 10 for 5 days,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
traffic light kharab hai near Railway Station Road chowk,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"good morning sir, there is a road on that road there is a pipe that is leaking and road is full of water",Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am rahul shamram i am fine so the problem is that drainage gutter overflow inundating street water in Civil Lines,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
i am reporting an issue that footpath is broken and paved tiles are missing near Karol Bagh,Public Works Department,Roads / PWD,Broken Footpath,LOW
"good morning sir, bus stop shelter shade damaged and rusted near Railway Station Road",Municipal Transport Department,Transport,Bus Stop Damage,LOW
hello sir my name is rahul and street light 1 hafte se band hai Civil Lines me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bhai listen sewage line overflowing near Model Town creating unsanitary conditions,Sanitation Department,Sanitation,Sewage Overflow,HIGH
street light 1 hafte se band hai Connaught Place me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bhai listen street light 1 hafte se band hai Railway Station Road me,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
large deep potholes on main road near Dwarka Sector 10 causing accidents,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bus stop shelter shade damaged and rusted near Karol Bagh,Municipal Transport Department,Transport,Bus Stop Damage,LOW
kachra 4 din se nahi uthaya gaya hai Model Town se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"good morning sir, kachra 4 din se nahi uthaya gaya hai Vasant Kunj se",Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
tap se ganda paani aa raha hai,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"good morning sir, traffic light kharab hai near Civil Lines chowk",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
large deep potholes on main road near Connaught Place causing accidents,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"hi assistant i am fine, sewage line overflowing near Railway Station Road creating unsanitary conditions",Sanitation Department,Sanitation,Sewage Overflow,HIGH
power supply has been out in Lajpat Nagar for more than 4 hours,Electricity Department,Electricity,Power Outage,HIGH
water pipe leak ho gaya hai Dwarka Sector 10 market ke paas,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"hi assistant i am fine, our taps have been completely dry in Railway Station Road since Monday",Water Department,Water Supply,No Water Supply,HIGH
hello sir my name is rahul and stormwater drain is completely clogged with silt near Rohini Sector 7,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
i am reporting an issue that electric pole near Lajpat Nagar is leaning dangerously and about to fall,Electricity Department,Electricity,Damaged Electric Pole,HIGH
i am reporting an issue that sewage chamber is overflowing and sewage spreading on street near dwarka sector 10,Sanitation Department,Sanitation,Sewage Overflow,HIGH
i am rahul shamram i am fine so the problem is that traffic signal lights not working at major intersection near Civil Lines,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
water pressure is very low,Water Department,Water Supply,Low Water Pressure,MEDIUM
in our area public toilet is closed and locked since 4 days near Vasant Kunj,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
i am rahul shamram i am fine so the problem is that nali overflow kar rahi hai Lajpat Nagar ke raste pe,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
"hi assistant i am fine, sewage chamber is overflowing and sewage spreading on street near Dwarka Sector 10",Sanitation Department,Sanitation,Sewage Overflow,HIGH
kachra 4 din se nahi uthaya gaya hai Vasant Kunj se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
severe waterlogging in Model Town after light rain due to choked drains,Municipal Drainage Department,Drainage,Waterlogging,HIGH
"please help me, bhai hamare area Civil Lines me 4 din se paani nahi aa raha hai",Water Department,Water Supply,No Water Supply,HIGH
"good morning sir, stagnant water pool near railway station road becoming mosquito breeding ground",Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
bhai listen streetlights turned off on main road near Connaught Place for 3 nights,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
in our area kachra 4 din se nahi uthaya gaya hai karol bagh se,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
i am reporting an issue that sadak par pipe se paani leak ho raha hai aur paani jama ho gaya hai,Water Department,Water Supply,Water Pipeline Leakage,HIGH
i am rahul shamram i am fine so the problem is that drainage gutter overflow inundating street water in Connaught Place,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
there is water on road due to broken pipeline near Connaught Place,Water Department,Water Supply,Water Pipeline Leakage,HIGH
"hi assistant i am fine, streetlights turned off on main road near Rohini Sector 7 for 3 nights",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
sewage manhole overflow causing smell and filth on pavement near Dwarka Sector 10,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"hi assistant i am fine, pothole on road needs urgent repair before an accident happens",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
