text,department,category,subcategory,priority
"baarish ke baad Sector 17 me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
sanitation condition is very bad near vasant kunj market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
bus stand ka shed toota hua hai near Rohini Sector 7.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
open manhole on main road near pitampura poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Broken Footpath,LOW
machhar bohot ho gaye hain stagnant water ke wajah se Karol Bagh me.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
sewage and drain water entering houses in model town locality.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
water comes for only 10 minutes in the morning with very poor pressure at ring road junction.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
"fogging karwao Janakpuri area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Vector Disease Control,HIGH
Fumigation and mosquito fogging required urgently in Kashmere Gate area.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
NON-FUNCTIONAL STREET LAMPS ALONG MAIN HIGHWAY STRETCH NEAR MODEL TOWN.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
WATER PIPE LEAK HO GAYA HAI VASANT KUNJ MARKET KE PAAS.,Water Department,Water Supply,No Water Supply,HIGH
pipeline burst near rohini sector 7 causing heavy water leakage on road.,Water Department,Water Supply,Low Water Pressure,MEDIUM
streetlights turned off on main road near civil lines for 5 nights.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
waste bin overflow kar raha hai near lajpat nagar colony.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"baarish ke baad Janakpuri me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
frequent voltage fluctuations and power cuts in saket block c area.,Electricity Department,Electricity,Power Outage,HIGH
Complete blackout in Preet Vihar locality since this morning night.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
dark street near Civil Lines making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Traffic signal lights not working at major intersection near GT Road.,Municipal Transport Department,Transport,Public Transport Facility,LOW
public toilet near saket block c is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"Water pressure is extremely low in Lajpat Nagar, cannot fill top tank.",Water Department,Water Supply,Low Water Pressure,MEDIUM
ROAD CONSTRUCTION WORK NEAR GT ROAD HAS BEEN LEFT INCOMPLETE FOR MONTHS.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
live electrical wire raste pe gira hua hai near pitampura.,Electricity Department,Electricity,Power Outage,HIGH
Public sanitation facility in Kashmere Gate lacks water and cleanliness.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Severe foul odor coming from unmaintained public restroom near Janakpuri.,Sanitation Department,Sanitation,Public Toilet Cleaning,MEDIUM
Stray dogs aggressiveness causing safety fear near Saket Block C park.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
KACHRA 4 DIN SE NAHI UTHAYA GAYA HAI MODEL TOWN SE.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
water pipe leak ho gaya hai Lajpat Nagar market ke paas.,Water Department,Water Supply,Water Meter Defect,LOW
kachra 4 din se nahi uthaya gaya hai Dwarka Sector 10 se.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
ganda paani aa raha hai tap me Saket Block C ke andar.,Water Department,Water Supply,Low Water Pressure,MEDIUM
Traffic signal lights not working at major intersection near Mayur Vihar Phase 1.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
the road condition near janakpuri is extremely bad and damaged.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Damaged bus shelter bench near Rohini Sector 7 causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
stray dogs aggressiveness causing safety fear near sector 17 park.,Public Health Department,Public Health,Vector Disease Control,HIGH
"baarish ke baad connaught place me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Complete blackout in Preet Vihar locality since last week night.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"baarish ke baad Railway Station Road me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Waterlogging,HIGH
stagnant water pool near dwarka sector 10 becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Vector Disease Control,HIGH
no proper bus seating shed or display board at railway station road stop.,Municipal Transport Department,Transport,Public Transport Facility,LOW
traffic signal blinking red continuously at Connaught Place intersection.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Sewage line overflowing near Saket Block C creating unsanitary conditions.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Streetlight pole broken and light fixture hanging near Mayur Vihar Phase 1.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
light pole toota hua hai near Pitampura park.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"street lights remain turned on during daytime near gt road, wasting electricity.",Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
entire stretch of road near saket block c is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Drainage gutter overflow inundating street water in Railway Station Road.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
kachra 4 din se nahi uthaya gaya hai Karol Bagh se.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
our taps have been completely dry since this morning.,Water Department,Water Supply,Water Pipeline Leakage,HIGH
streetlights turned off on main road near lajpat nagar for 5 nights.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Streetlights turned off on main road near Karol Bagh for 4 nights.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"traffic light kharab hai near Rohini Sector 7 chowk, jam lag raha hai.",Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
"fogging karwao Lajpat Nagar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Vector Disease Control,HIGH
Public sanitation facility in Rohini Sector 7 lacks water and cleanliness.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
no proper bus seating shed or display board at chandni chowk stop.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
"Water pipeline is leaking heavily near Connaught Place, wasting clean water.",Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Huge pile of uncollected trash dumped openly near Railway Station Road corner.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
Electric pole near Saket Block C is leaning dangerously and about to fall.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
"fogging karwao preet vihar area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
Urgent mosquito spray drive needed in Dwarka Sector 10 due to malaria outbreak risk.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
footpath broken hai near Civil Lines station area.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Main junction near Preet Vihar has huge potholes damaging vehicles daily.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
waste bin overflow kar raha hai near mayur vihar phase 1 colony.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
DARK STREET NEAR GT ROAD MAKING IT UNSAFE FOR WOMEN AT NIGHT.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Garbage has not been collected from Ring Road Junction for 5 days.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Streetlight pole broken and light fixture hanging near Mayur Vihar Phase 1.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
nali overflow kar rahi hai Rajouri Garden ke raste pe.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
Asphalt has caved in near Dwarka Sector 10 creating a dangerous road depression.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
Footpath is broken and paved tiles are missing near Sector 17.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
dark street near kashmere gate making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Frequent voltage fluctuations and power cuts in Connaught Place area.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
Frequent voltage fluctuations and power cuts in Vasant Kunj area.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
electric pole near ring road junction is leaning dangerously and about to fall.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
garbage dump ho raha hai open space me near Saket Block C.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
sanitation condition is very bad near Janakpuri market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Public toilet near Ring Road Junction is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
"baarish ke baad Dwarka Sector 10 me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Waterlogging,HIGH
"open manhole hai road pe near Mayur Vihar Phase 1, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
open manhole on main road near connaught place poses severe danger to pedestrians.,Public Works Department,Roads / PWD,Broken Footpath,LOW
ROAD IS COMPLETELY DUG UP NEAR RAJOURI GARDEN AND NO BARRICADES PUT.,Public Works Department,Roads / PWD,Broken Footpath,LOW
public toilet near pitampura is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
machhar bohot ho gaye hain stagnant water ke wajah se Mayur Vihar Phase 1 me.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
machhar bohot ho gaye hain stagnant water ke wajah se Civil Lines me.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
traffic signal lights not working at major intersection near saket block c.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Electric pole near Rohini Sector 7 is leaning dangerously and about to fall.,Electricity Department,Electricity,Power Outage,HIGH
Sewage and drain water entering houses in Chandni Chowk locality.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Sewage and drain water entering houses in Rajouri Garden locality.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
TRAFFIC SIGNAL LIGHTS NOT WORKING AT MAJOR INTERSECTION NEAR CHANDNI CHOWK.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
Entire stretch of road near Pitampura is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
exposed live electrical wire hanging dangerously near school entrance in chandni chowk.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
waste bin overflow kar raha hai near civil lines colony.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Footpath is broken and paved tiles are missing near Vasant Kunj.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
"bijli 6 ghante se nahi hai Chandni Chowk me, light kab aayegi?",Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Complete blackout in Sector 17 locality since last night night.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Fumigation and mosquito fogging required urgently in Lajpat Nagar area.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
footpath broken hai near Model Town station area.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
"Water pressure is extremely low in Ring Road Junction, cannot fill top tank.",Water Department,Water Supply,Low Water Pressure,MEDIUM
"water pipeline is leaking heavily near rajouri garden, wasting clean water.",Water Department,Water Supply,Water Meter Defect,LOW
Streetlight pole broken and light fixture hanging near Sector 17.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
"OPEN MANHOLE HAI ROAD PE NEAR PREET VIHAR, KISI KA ACCIDENT HO SAKTA HAI.",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
light pole toota hua hai near Karol Bagh park.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Stagnant water pool near Chandni Chowk becoming mosquito breeding ground for dengue.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
gutter blocked near mayur vihar phase 1 market area.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
footpath broken hai near Civil Lines station area.,Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
Our taps have been completely dry since last night.,Water Department,Water Supply,No Water Supply,HIGH
pest infestation and open unhygienic waste near dwarka sector 10 food market.,Public Health Department,Public Health,Vector Disease Control,HIGH
dark street near Connaught Place making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Exposed live electrical wire hanging dangerously near school entrance in Preet Vihar.,Electricity Department,Electricity,Power Outage,HIGH
sanitation condition is very bad near mayur vihar phase 1 market area.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"Water pipeline is leaking heavily near Janakpuri, wasting clean water.",Water Department,Water Supply,Water Pipeline Leakage,HIGH
WATER PIPE LEAK HO GAYA HAI RAJOURI GARDEN MARKET KE PAAS.,Water Department,Water Supply,Water Meter Defect,LOW
Stray dogs aggressiveness causing safety fear near Connaught Place park.,Public Health Department,Public Health,Vector Disease Control,HIGH
water pipe leak ho gaya hai Karol Bagh market ke paas.,Water Department,Water Supply,Contaminated / Dirty Water,HIGH
Entire stretch of road near Saket Block C is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Pipeline burst near Karol Bagh causing heavy water leakage on road.,Water Department,Water Supply,Water Meter Defect,LOW
Door-to-door sanitation truck hasn't visited Ring Road Junction this week.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Severe foul odor coming from unmaintained public restroom near Connaught Place.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Urgent mosquito spray drive needed in Saket Block C due to malaria outbreak risk.,Public Health Department,Public Health,Stray Animal Nuisance,MEDIUM
"baarish ke baad Vasant Kunj me paani bhar gaya hai, drain blocked hai.",Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Damaged bus shelter bench near Railway Station Road causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
electric pole near ring road junction is leaning dangerously and about to fall.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
"open manhole hai road pe near Chandni Chowk, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
drainage gutter overflow inundating street water in mayur vihar phase 1.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
asphalt has caved in near rohini sector 7 creating a dangerous road depression.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
urgent mosquito spray drive needed in karol bagh due to malaria outbreak risk.,Public Health Department,Public Health,Vector Disease Control,HIGH
high voltage surge burnt electrical appliances in saket block c.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
bus stand ka shed toota hua hai near gt road.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
traffic signal blinking red continuously at Kashmere Gate intersection.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Public sanitation facility in Preet Vihar lacks water and cleanliness.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Severe waterlogging in Rohini Sector 7 after light rain due to choked drains.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Public toilet near Kashmere Gate is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
SEWAGE LINE OVERFLOWING NEAR CHANDNI CHOWK CREATING UNSANITARY CONDITIONS.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
bus stand ka shed toota hua hai near saket block c.,Municipal Transport Department,Transport,Public Transport Facility,LOW
footpath is broken and paved tiles are missing near rohini sector 7.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
public toilet bahut ganda hai near rajouri garden bus stand.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
"Street lights remain turned on during daytime near Rohini Sector 7, wasting electricity.",Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"street light 1 hafte se band hai Mayur Vihar Phase 1 me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Large deep potholes on main road near Mayur Vihar Phase 1 causing accidents.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
Non-functional street lamps along main highway stretch near Model Town.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
"street light 1 hafte se band hai Model Town me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
garbage dump ho raha hai open space me near Ring Road Junction.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Complete blackout in Saket Block C locality since last week night.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Severe foul odor coming from unmaintained public restroom near Saket Block C.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
"Road ki condition bahut kharab hai Rajouri Garden me, accident ho rahe hain.",Public Works Department,Roads / PWD,Dangerous Pothole,HIGH
bhai hamare area Janakpuri me 2 din se paani nahi aa raha hai.,Water Department,Water Supply,Low Water Pressure,MEDIUM
Community waste bin overflowing near Civil Lines attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
Public toilet near Janakpuri is extremely filthy and not cleaned for weeks.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
No proper bus seating shed or display board at Dwarka Sector 10 stop.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Streetlight pole broken and light fixture hanging near Vasant Kunj.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
Severe waterlogging in Connaught Place after light rain due to choked drains.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
bus stand ka shed toota hua hai near Pitampura.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
sanitation condition is very bad near rohini sector 7 market area.,Sanitation Department,Sanitation,Public Sanitation Nuisance,MEDIUM
Pest infestation and open unhygienic waste near Sector 17 food market.,Public Health Department,Public Health,Vector Disease Control,HIGH
ENTIRE STRETCH OF ROAD NEAR CHANDNI CHOWK IS PITCH DARK AT NIGHT CREATING SAFETY HAZARD.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Traffic signal lights not working at major intersection near Janakpuri.,Municipal Transport Department,Transport,Public Transport Facility,LOW
High voltage surge burnt electrical appliances in Karol Bagh.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
bhai hamare area model town me 5 din se paani nahi aa raha hai.,Water Department,Water Supply,Low Water Pressure,MEDIUM
community waste bin overflowing near civil lines attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"fogging karwao Pitampura area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Vector Disease Control,HIGH
Rotting organic waste creating intense stench near Ring Road Junction main market.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
Road construction work near Ring Road Junction has been left incomplete for months.,Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
public toilet bahut ganda hai near Chandni Chowk bus stand.,Sanitation Department,Sanitation,Sewage Overflow,HIGH
Non-functional street lamps along main highway stretch near Rohini Sector 7.,Electrical & Lighting Department,Street Lighting,Daytime Light On,LOW
nali overflow kar rahi hai GT Road ke raste pe.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
"Street lights remain turned on during daytime near Lajpat Nagar, wasting electricity.",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Drainage gutter overflow inundating street water in Saket Block C.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
Community waste bin overflowing near Vasant Kunj attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
clogged stormwater channel causing 2 feet water accumulation in railway station road.,Municipal Drainage Department,Drainage,Drainage Overflow,HIGH
waste bin overflow kar raha hai near Ring Road Junction colony.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
DOOR-TO-DOOR SANITATION TRUCK HASN'T VISITED LAJPAT NAGAR THIS WEEK.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"street light 1 hafte se band hai gt road me, andhera rehta hai.",Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"Street lights remain turned on during daytime near Sector 17, wasting electricity.",Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
bus stop shelter shade damaged and rusted near mayur vihar phase 1.,Municipal Transport Department,Transport,Traffic Signal Defect,HIGH
Buses parking illegally blocking lane near Preet Vihar terminal.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Community waste bin overflowing near Rajouri Garden attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
sewage ka paani raste pe beh raha hai near Vasant Kunj.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Streetlights turned off on main road near Mayur Vihar Phase 1 for 4 nights.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Garbage has not been collected from Model Town for 4 days.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
severe waterlogging in kashmere gate after light rain due to choked drains.,Municipal Drainage Department,Drainage,Clogged Gutter,MEDIUM
Entire stretch of road near Mayur Vihar Phase 1 is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Exposed live electrical wire hanging dangerously near school entrance in Dwarka Sector 10.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
Large deep potholes on main road near Railway Station Road causing accidents.,Public Works Department,Roads / PWD,Broken Footpath,LOW
There has been no water supply in Rohini Sector 7 for 10 days.,Water Department,Water Supply,Water Meter Defect,LOW
"BIJLI 6 GHANTE SE NAHI HAI CIVIL LINES ME, LIGHT KAB AAYEGI?",Electricity Department,Electricity,Transformer Sparking,CRITICAL
Frequent voltage fluctuations and power cuts in Lajpat Nagar area.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
machhar bohot ho gaye hain stagnant water ke wajah se Saket Block C me.,Public Health Department,Public Health,Vector Disease Control,HIGH
Streetlights turned off on main road near Lajpat Nagar for 5 nights.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
footpath broken hai near Ring Road Junction station area.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
LIVE ELECTRICAL WIRE RASTE PE GIRA HUA HAI NEAR JANAKPURI.,Electricity Department,Electricity,Low Voltage Issue,MEDIUM
NO PROPER BUS SEATING SHED OR DISPLAY BOARD AT MAYUR VIHAR PHASE 1 STOP.,Municipal Transport Department,Transport,Public Transport Facility,LOW
Non-functional street lamps along main highway stretch near Rohini Sector 7.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
kachra 4 din se nahi uthaya gaya hai Saket Block C se.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
sewage ka paani raste pe beh raha hai near pitampura.,Sanitation Department,Sanitation,Foul Smell / Unsanitary Area,MEDIUM
Asphalt has caved in near Chandni Chowk creating a dangerous road depression.,Public Works Department,Roads / PWD,Open Manhole Hazard,CRITICAL
Non-functional street lamps along main highway stretch near Lajpat Nagar.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
Pest infestation and open unhygienic waste near Dwarka Sector 10 food market.,Public Health Department,Public Health,Vector Disease Control,HIGH
Power transformer overloaded and sparking near Railway Station Road residential block.,Electricity Department,Electricity,Transformer Sparking,CRITICAL
Electricity transformer near GT Road is sparking violently and emitting smoke.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
stray dogs problem near Chandni Chowk primary school.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
"traffic light kharab hai near Chandni Chowk chowk, jam lag raha hai.",Municipal Transport Department,Transport,Public Transport Facility,LOW
"open manhole hai road pe near Kashmere Gate, kisi ka accident ho sakta hai.",Public Works Department,Roads / PWD,Road Repair Needed,MEDIUM
Non-functional street lamps along main highway stretch near Rajouri Garden.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Rotting organic waste creating intense stench near Saket Block C main market.,Sanitation & Waste Department,Waste Management,Uncollected Garbage,MEDIUM
"fogging karwao gt road area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Vector Disease Control,HIGH
Streetlights turned off on main road near Chandni Chowk for 2 nights.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
Damaged bus shelter bench near Mayur Vihar Phase 1 causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
live electrical wire raste pe gira hua hai near Sector 17.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
"bijli 6 ghante se nahi hai Chandni Chowk me, light kab aayegi?",Electricity Department,Electricity,Power Outage,HIGH
Damaged bus shelter bench near Preet Vihar causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
live electrical wire raste pe gira hua hai near Connaught Place.,Electricity Department,Electricity,Damaged Electric Pole,HIGH
Bus stop shelter shade damaged and rusted near Sector 17.,Municipal Transport Department,Transport,Public Transport Facility,LOW
traffic signal blinking red continuously at Karol Bagh intersection.,Municipal Transport Department,Transport,Bus Stop Damage,LOW
light pole toota hua hai near Karol Bagh park.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
"bijli 6 ghante se nahi hai vasant kunj me, light kab aayegi?",Electricity Department,Electricity,Low Voltage Issue,MEDIUM
dark street near Mayur Vihar Phase 1 making it unsafe for women at night.,Electrical & Lighting Department,Street Lighting,Broken Lamp Pole,MEDIUM
door-to-door sanitation truck hasn't visited janakpuri this week.,Sanitation & Waste Department,Waste Management,Open Waste Dumping,MEDIUM
"fogging karwao Ring Road Junction area me, dengue cases badh rahe hain.",Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
High voltage surge burnt electrical appliances in GT Road.,Electricity Department,Electricity,Exposed Electrical Hazard,CRITICAL
Our taps have been completely dry since yesterday.,Water Department,Water Supply,Water Meter Defect,LOW
community waste bin overflowing near ring road junction attracting flies and stray animals.,Sanitation & Waste Department,Waste Management,Irregular Door-to-Door Collection,LOW
Entire stretch of road near Karol Bagh is pitch dark at night creating safety hazard.,Electrical & Lighting Department,Street Lighting,Dark Road Safety Concern,HIGH
Traffic signal lights not working at major intersection near Preet Vihar.,Municipal Transport Department,Transport,Public Transport Facility,LOW
the road condition near railway station road is extremely bad and damaged.,Public Works Department,Roads / PWD,Incomplete Road Construction,MEDIUM
Drainage gutter overflow inundating street water in Ring Road Junction.,Municipal Drainage Department,Drainage,Stormwater Drain Blockage,HIGH
sewage and drain water entering houses in pitampura locality.,Municipal Drainage Department,Drainage,Waterlogging,HIGH
Bus stop shelter shade damaged and rusted near Vasant Kunj.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
Main water supply pipeline damaged during road work in Railway Station Road.,Water Department,Water Supply,No Water Supply,HIGH
Door-to-door sanitation truck hasn't visited Preet Vihar this week.,Sanitation & Waste Department,Waste Management,Garbage Dustbin Overflow,MEDIUM
Urgent mosquito spray drive needed in Railway Station Road due to malaria outbreak risk.,Public Health Department,Public Health,Mosquito Breeding Hazard,HIGH
Urgent mosquito spray drive needed in Pitampura due to malaria outbreak risk.,Public Health Department,Public Health,Food Hygiene Violation,MEDIUM
Damaged bus shelter bench near Mayur Vihar Phase 1 causing inconvenience to elderly commuters.,Municipal Transport Department,Transport,Illegal Bus Parking,MEDIUM
light pole toota hua hai near Connaught Place park.,Electrical & Lighting Department,Street Lighting,Streetlight Off,MEDIUM
